-36,153,/
29,-362,-
-107,3,^
350,7,**
273,10,**
465,359,*
-28,37,**
-452,6,**
163,73,-
-468,-180,+
414,7,^
156,309,/
-461,7,**
475,254,-
329,-324,-
-31,14,^
-305,171,/
-443,131,+
127,8,**
-286,-291,+
208,-303,/
477,-388,*
72,22,**
375,-309,/
-31,16,^
282,-26,/
-59,-110,*
-307,11,^
-240,-145,/
227,-110,*
340,6,**
-320,-426,*
226,-348,/
183,-247,*
497,-109,/
337,-391,/
260,11,**
-87,-421,-
-221,12,^
-284,344,/
-422,-6,/
-1,222,/
71,6,**
-294,-468,/
80,47,/
228,12,**
54,355,+
19,13,**
402,7,**
-270,-416,-
-49,-31,*
-165,15,^
-216,8,^
-292,133,+
-411,-166,/
298,-435,-
-112,-303,/
-138,144,*
-420,295,-
-186,-314,-
374,11,^
-291,-360,*
327,-244,-
335,-271,*
2,194,-
-298,-194,+
-271,86,^
175,-9,/
-102,262,-
-19,4,^
-43,-224,-
114,8,**
220,-21,-
-397,15,^
-30,2,**
282,41,**
-353,-450,-
29,466,-
359,-246,/
22,-141,/
248,372,-
412,8,**
303,-349,/
-231,-230,/
411,-321,/
135,-367,/
-105,14,+
-299,7,**
-108,15,^
128,95,*
-76,-38,/
-191,190,-
10,99,**
-178,-476,+
-216,235,*
-135,-393,/
-10,-129,+
365,-352,/
166,218,+
-333,6,^
465,433,*
-244,-36,*
358,8,**
-195,491,-
-389,321,*
405,166,-
-241,-378,*
-69,11,^
-500,-452,-
246,6,+
-444,13,**
433,-17,-
-340,13,^
-123,442,*
-123,352,*
-403,7,**
-467,4,^
9,55,**
-275,-208,*
285,4,^
311,405,-
-25,-444,*
-369,7,**
356,-491,*
137,-369,*
131,-259,*
238,13,**
-468,-79,/
-150,319,/
-144,-10,*
-356,-10,-
183,-436,*
-445,-389,/
-134,14,**
-40,-206,*
-191,-458,/
-241,-44,/
-18,11,**
-125,-396,+
-463,17,-
-108,466,-
-129,10,**
-429,333,-
-85,12,^
-314,381,/
-24,39,/
334,5,**
-56,-489,-
-290,-54,-
32,4,**
-301,-237,/
476,440,-
181,64,-
294,10,^
-408,439,*
91,33,**
-415,15,^
-122,-29,/
-291,13,^
471,-242,/
-232,466,/
-41,13,^
-462,-368,/
169,12,**
-449,339,+
93,70,+
41,-455,-
-90,179,-
-245,419,*
261,407,/
198,4,/
409,9,^
410,14,**
188,-101,+
-82,-203,*
19,-59,-
221,-323,-
-63,-215,-
-460,-225,*
399,6,**
167,8,**
7,-68,+
-89,-302,/
-356,94,**
-329,4,**
194,11,**
-83,206,/
-218,-86,*
116,335,/
-337,-314,/
-427,4,**
-132,393,/
-249,-6,/
-269,9,**
374,4,**
119,264,*
342,-473,*
6,2,-
-57,35,^
292,330,/
-393,373,/
229,6,^
-137,121,/
-260,-191,-
-344,88,+
-337,-335,*
16,-119,*
-234,147,/
-224,8,^
-2,413,-
302,33,+
-49,11,^
-113,-251,/
-63,441,-
-26,479,-
487,55,**
425,21,**
85,182,/
258,-454,*
159,-106,/
176,8,**
-420,396,-
-169,4,**
-190,15,**
-266,4,^
488,-332,/
296,188,*
63,428,*
80,216,-
-69,48,**
-325,438,-
216,49,-
210,-85,/
-59,-315,+
-204,6,**
-398,-438,/
195,-288,+
189,422,-
51,413,-
57,87,**
-314,9,**
-184,5,**
46,-42,+
-353,14,^
-15,-199,+
-111,13,**
438,-419,/
-169,-131,*
452,-182,/
298,10,**
-6,259,-
170,10,**
-94,7,**
448,182,+
107,292,*
